512 149
0 0 +1.044391e+05
1 0 +2.136050e+05
2 0 +3.470750e+05
3 0 +3.754847e+05
4 0 +5.083849e+05
5 0 +1.265271e+06
6 0 +2.458219e+06
7 0 +3.494629e+06
8 0 +3.749811e+06
9 0 +2.571895e+06
10 0 +4.935524e+05
11 0 +4.111230e+06
12 0 +7.289712e+06
13 0 +6.577439e+06
14 0 +4.227417e+06
15 0 +8.984074e+06
16 0 +6.269255e+06
17 0 +5.537370e+06
18 0 +8.384888e+06
19 0 +1.076231e+06
20 0 +7.764089e+06
21 0 +3.463294e+07
22 0 +5.507261e+07
23 0 +3.574821e+07
24 0 +1.794529e+07
25 0 +1.234548e+07
26 0 +2.311075e+07
27 0 +1.445801e+07
28 0 +3.034579e+07
29 0 +6.146243e+07
30 0 +5.461719e+07
31 0 +2.607254e+07
32 0 +9.769444e+06
33 0 +1.599719e+07
34 0 +5.231172e+07
35 0 +4.137607e+07
36 0 +5.222436e+07
37 0 +4.362614e+07
38 0 +5.887785e+07
39 0 +9.959268e+07
40 0 +7.521984e+07
41 0 +2.569539e+07
42 0 +4.311738e+06
43 0 +2.273741e+07
44 0 +4.900575e+07
45 0 +4.353568e+07
46 0 +5.138988e+07
47 0 +4.063807e+07
48 0 +1.195558e+07
49 0 +1.029800e+07
50 0 +2.397178e+07
51 0 +5.685168e+07
52 0 +8.082452e+07
53 0 +7.160847e+07
54 0 +6.573867e+07
55 0 +7.232666e+07
56 0 +4.933408e+07
57 0 +5.329479e+07
58 0 +5.363438e+07
59 0 +1.724073e+07
60 0 +4.049826e+07
61 0 +1.846729e+07
62 0 +4.642099e+07
63 0 +5.684238e+07
64 0 +2.055467e+07
65 0 +1.699100e+07
66 0 +4.949181e+06
67 0 +1.446093e+07
68 0 +3.673675e+07
69 0 +5.434682e+07
70 0 +2.516432e+07
71 0 +3.486878e+07
72 0 +3.216325e+07
73 0 +1.876393e+07
74 0 +2.400214e+07
75 0 +1.757233e+07
76 0 +2.191719e+07
77 0 +3.466381e+07
78 0 +6.094054e+06
79 0 +1.114392e+07
80 0 +1.124490e+07
81 0 +1.363836e+07
82 0 +1.755656e+07
83 0 +3.631040e+07
84 0 +2.122530e+07
85 0 +2.304254e+07
86 0 +1.954310e+07
87 0 +7.621604e+06
88 0 +1.519551e+07
89 0 +7.391475e+06
90 0 +5.123027e+07
91 0 +6.166138e+07
92 0 +4.795864e+07
93 0 +3.665003e+07
94 0 +3.258920e+07
95 0 +4.054947e+07
96 0 +1.607414e+07
97 0 +2.745698e+07
98 0 +2.735264e+07
99 0 +1.240685e+07
100 0 +1.552293e+07
101 0 +3.014566e+07
102 0 +3.497015e+07
103 0 +1.986373e+07
104 0 +1.903661e+07
105 0 +2.720932e+07
106 0 +2.411540e+07
107 0 +5.723075e+07
108 0 +3.796403e+07
109 0 +3.024415e+06
110 0 +1.206148e+07
